Upper East Side,0.07668743906941623
Yorkville,0.06738715187409636
Diamond District,0.0617835299723183
Koreatown,0.05361087673386662
Tudor City,0.0524516808584373
Murray Hill,0.04257766998168669
Fulton Houses,0.04009167355984828
San Juan Hill,0.03975797115299246
Flatiron,0.03623874746791299
Lincoln Towers,0.03331483291431468
Hell's Kitchen,0.03246910744666353
Rose Hill,0.030450107422845585
Chelsea,0.027117394863056365
Upper West Side,0.026819077524932206
Greenwich Village,0.02663601281603656
East Village,0.02475259509224445
Clinton,0.023012629218464246
Tribeca,0.020744370966009725
Washington Square Village,0.018540603954753047
Park West Village,0.018290857367518044
NoHo,0.015014961842379973
SoHo,0.014533035624350491
Rochdale Village,0.013765517297961547
Midtown West,0.01348084609438769
Kips Bay,0.013332817626653396
Battery Park City,0.01211221414574772
North Beach,0.012092414692857255
Lower East Side,0.0120147238163991
University Village,0.01100101694399226
Stuyvesant Town,0.01077535341221106
Little Italy,0.01076022824876267
Morningside Heights,0.009914516734214335
East Elmhurst,0.009392586970422365
Southbridge Towers,0.008838788319807405
Williamsburg,0.00850536497500783
East Harlem,0.007477732905994444
Loisaida,0.007099129414289068
Alphabet City,0.005010573172952463
Chinatown,0.003719241413891907
Harlem,0.0034200868895990183
South Street Seaport,0.002841381950464336
Broad Channel,0.0024885498396530355
Astoria,0.002439295386726081
Long Island City,0.0022026926223401425
Manhattanville,0.0021495173475229693
Greenpoint,0.001920239962113419
Sunnyside Gardens,0.0016160762739109613
Fort Greene,0.0015628870459909756
Hamilton Heights,0.0015383993505556203
Sunnyside,0.0015375342581812658
Waterside Plaza,0.0014726244238990587
Downtown Brooklyn,0.0013890732442597947
Brooklyn Heights,0.0013787060888703535
Steinway,0.001364166955740074
DUMBO,0.0013161403758605908
Cobble Hill Historic District,0.0010985975499160743
Wyckoff Gardens,0.0009597781300378114
Gowanus Houses,0.0009520899703883066
Washington Heights,0.0008764641531463542
Park Slope,0.0008063358584123961
Woodside,0.0007964291554157566
Cobble Hill,0.0007404911662417737
Prospect Heights,0.0007232451311659337
Jackson Heights,0.0006922273836144835
Boerum Hill,0.0006514145578888911
Gowanus,0.0006169643470456474
Clinton Hill,0.0005914580751050037
Marcy Houses,0.0005788026108543671
Bushwick,0.000479749533990784
Adelphi,0.0003836684680261928
Cedar Manor Houses,0.0003702037238124504
Columbia Street Waterfront District,0.00031513082701282194
Haberman,0.0002931546900836568
South Slope,0.0002702297421632642
Elmhurst,0.00023689577954499405
Red Hook,0.0002351237354878487
Colgate Center,0.0002335330817672615
Forest Hills,0.0002330447231688356
Mott Haven,0.00022934715092361098
Crown Heights,0.00022368219118187063
Lincoln Harbor,0.00021997066583383387
Brooklyn Navy Yard,0.00017593467335863059
Bedford-Stuyvesant,0.0001754463147602047
Flatbush,0.0001571956562818885
Jamaica,0.00014915866906207954
Lefrak City,0.00013861012333608028
Linden Hill,0.00013720085995205127
Inwood,0.00013258238292122355
Hamilton Beach,0.00012954060650817087
Rego Park,0.00012020598072683024
Corona,0.00011988505936215038
Flushing,0.00011493170786383061
Kew Gardens,0.00010529011382062228
Blissville,0.00010414595939002448
Kensington,8.676039328606274e-05
Forest Hills Gardens,8.240702520866621e-05
Port Morris,8.105357423588588e-05
Westerleigh,8.074660597401817e-05
Glen Oaks,7.727228337378826e-05
High Bridge,7.501188071821699e-05
Richmond Hill,6.860740652743173e-05
Ditmas Park,6.775626725588945e-05
University Heights,6.66818783393525e-05
Parkville,6.510517772157747e-05
Eastern Parkway,6.34168522813051e-05
Boerum Hill Historic District,5.983090485857784e-05
Maspeth,5.0426513563176375e-05
Bay Ridge,4.893353156227437e-05
Midwood,4.837540744978763e-05
Westgate Gardens,4.4803413129872534e-05
Unionport,3.6417598339759365e-05
Riverdale,3.31386191788998e-05
Borough Park,3.167354338362213e-05
Tremont,2.7780627699027164e-05
Melrose,2.7766674596214994e-05
Hillside,2.7571331156844636e-05
Fort Hamilton,2.6789957399363212e-05
Broadway Junction,2.6776004296551043e-05
New Utrecht,2.5394647118146376e-05
Middle Village,2.427839889317291e-05
Ridgewood,2.4069102350990384e-05
Rosedale,2.3901665117244365e-05
Brownsville,2.3650509266625336e-05
Roy Reuther Houses,2.3552837546940155e-05
Old Germania Heights,2.2394730013530185e-05
Parkside,2.0692451470445648e-05
Pleasant Plains,2.0008749432649397e-05
Rossville,1.9813405993279043e-05
Morris Heights,1.957620324547218e-05
Parkchester,1.765067505739295e-05
Fordham Hill,1.6925113711160196e-05
Gravesend,1.6855348197099355e-05
Morrisania,1.6436755112734304e-05
Eastchester,1.619955236492744e-05
Ozone Park,1.5906537205871905e-05
Wakefield,1.589258410305974e-05
Kings Bridge,1.58646778974354e-05
Brooklyn Manor,1.5585615841192035e-05
Spuyten Duyvil,1.5571662738379865e-05
Heartland Village,1.546003791588252e-05
Woodhaven,1.377171247561015e-05
City Island,1.3632181447488468e-05
East Flatbush,1.3241494568747754e-05
Fresh Pond,1.3227541465935586e-05
West New Brighton,1.3046151129377398e-05
Brighton Beach,1.2781042175946199e-05
Fordham,1.2613604942200179e-05
Hunts Point,1.234849598876898e-05
Flatlands,1.1915949801591762e-05
Bensonhurst,1.1860137390343089e-05
Fresh Meadows,1.1581075334099722e-05
Queens Village,1.0018327819136867e-05
Saint George,9.446250603837965e-06
West Farms,9.418344398213629e-06
City Line,9.404391295401461e-06
Cypress Hills,9.223000958843273e-06
Charlotte Gardens,9.181141650406767e-06
Woodlawn,8.511392715422687e-06
Bedford Park,8.343955481676667e-06
East Tremont,8.31604927605233e-06
