0,CRD,1617217
0,CSH,1275919
0,DIS,2632
0,NOC,7763
0,UNK,2910
1,CRD,1189903
1,CSH,959645
1,DIS,2448
1,NOC,7014
1,UNK,1953
2,CRD,882979
2,CSH,716524
2,DIS,2053
2,NOC,6068
2,UNK,1271
3,CRD,639734
3,CSH,545787
3,DIS,1728
3,NOC,5384
3,UNK,805
4,CRD,411691
4,CSH,445823
4,DIS,1659
4,NOC,5086
4,UNK,613
5,CRD,360206
5,CSH,349722
5,DIS,979
5,NOC,3639
5,UNK,902
6,CRD,778430
6,CSH,660675
6,DIS,1208
6,NOC,4164
6,UNK,2271
7,CRD,1431996
7,CSH,1087955
7,DIS,1440
7,NOC,4976
7,UNK,4364
8,CRD,1864329
8,CSH,1282822
8,DIS,1706
8,NOC,5571
8,UNK,5064
9,CRD,1877636
9,CSH,1400388
9,DIS,1760
9,NOC,5547
9,UNK,4316
10,CRD,1682674
10,CSH,1538613
10,DIS,1834
10,NOC,5746
10,UNK,3763
11,CRD,1688188
11,CSH,1652378
11,DIS,1990
11,NOC,6017
11,UNK,3567
12,CRD,1764467
12,CSH,1755144
12,DIS,2272
12,NOC,6888
12,UNK,3749
13,CRD,1727566
13,CSH,1759966
13,DIS,2285
13,NOC,7216
13,UNK,3709
14,CRD,1771362
14,CSH,1826304
14,DIS,2661
14,NOC,8102
14,UNK,3727
15,CRD,1669257
15,CSH,1762446
15,DIS,2778
15,NOC,8654
15,UNK,3645
16,CRD,1405788
16,CSH,1461878
16,DIS,2465
16,NOC,8097
16,UNK,3257
17,CRD,1774327
17,CSH,1706808
17,DIS,2646
17,NOC,8649
17,UNK,4210
18,CRD,2292908
18,CSH,1986707
18,DIS,2770
18,NOC,9008
18,UNK,5445
19,CRD,2467660
19,CSH,1995469
19,DIS,2860
19,NOC,8830
19,UNK,5793
20,CRD,2424611
20,CSH,1803803
20,DIS,2634
20,NOC,8165
20,UNK,5486
21,CRD,2350800
21,CSH,1772224
21,DIS,2537
21,NOC,8024
21,UNK,4974
22,CRD,2275967
22,CSH,1733468
22,DIS,2691
22,NOC,8503
22,UNK,4598
23,CRD,2005543
23,CSH,1539126
23,DIS,2690
23,NOC,8274
23,UNK,3896
