hour,percent
19,0.063785618
18,0.063264857
20,0.058721784
21,0.056437851
22,0.054649888
17,0.051870538
14,0.051264906
15,0.050256738
12,0.048974896
13,0.048834779
9,0.047481186
8,0.047069121
23,0.045879954
11,0.04571104
10,0.044606744
16,0.043752091
7,0.036989792
0,0.035974511
1,0.027126266
2,0.020753105
6,0.020530118
3,0.015336387
4,0.011101516
5,0.009626314
