hour,speed
5,25.2897648
4,21.68615463
6,20.77741331
3,18.86989634
2,18.00225367
1,17.45166812
0,16.72254932
23,16.23681433
22,15.73565721
7,15.50806763
21,15.30545452
20,14.34511295
19,12.80865366
16,12.73688848
13,12.37192453
8,12.34319072
14,12.31245722
15,12.26780299
10,12.22776765
11,12.07802816
17,12.07428172
12,11.95210426
18,11.9344529
9,11.7942451
