Hour,Percent
19,0.062510952
18,0.059947041
20,0.059219628
21,0.057738823
22,0.056157679
14,0.050394747
23,0.049660525
12,0.049283711
13,0.048840363
17,0.048783134
15,0.048087515
11,0.046767152
9,0.045895285
10,0.045099816
8,0.044079437
0,0.040549013
16,0.040200841
7,0.03530732
1,0.030148527
2,0.022446389
6,0.020184206
3,0.016650169
4,0.012066203
5,0.009981524
