neighborhood,longitude,latitude
Ozone Park,-73.8412502,40.67502
Paerdegat,-73.9183584,40.62939393
Park Slope,-73.98298819,40.67012878
Park West Village,-73.96830291,40.79371382
Parkchester,-73.86193233,40.83509319
Parkside,-73.8558655,40.7091752
Parkville,-73.97681565,40.63367149
Parsons Beach,-73.749672,40.772217
Pelham Bay,-73.8323135,40.84730175
Pleasant Plains,-74.208405,40.518482
Port Morris,-73.91240914,40.80597362
Prospect Heights,-73.97075057,40.67665827
Queens Village,-73.7450605,40.72690813
Red Hook,-74.00650319,40.67598324
Rego Park,-73.86024277,40.7269119
Richmond,-74.130379,40.57209
Richmond Hill,-73.82499567,40.6994054
Ridgewood,-73.90418968,40.70213395
Riverdale,-73.90532447,40.90469211
Rochdale Village,-73.77972269,40.66794383
Rose Hill,-73.98384301,40.74205705
Rosedale,-73.73347825,40.66953481
Rossville,-74.220512,40.546471
Roy Reuther Houses,-73.749314,40.601507
Saint Albans,-73.75839591,40.69817736
Saint George,-74.07648967,40.645556
San Juan Hill,-73.98241094,40.76574645
Schuylerville,-73.82638325,40.82763275
Seagate,-74.0061415,40.577387
Sheepshead Bay,-73.94452333,40.59318693
SoHo,-74.00037731,40.72287509
South Slope,-73.99322082,40.66146952
South Street Seaport,-74.00359374,40.70723931
Southbridge Towers,-74.00669396,40.70741391
Spencer Estates,-73.821011,40.843971
Springfield Gardens,-73.748167,40.67792663
Spuyten Duyvil,-73.91597018,40.88207405
Stapleton,-74.080498,40.624676
Steinway,-73.91133381,40.7713007
Stuyvesant Town,-73.98024358,40.73304127
Sunnyside,-73.93289221,40.74598707
Sunnyside Gardens,-73.92109166,40.75390404
Terrace Heights,-73.76672445,40.724497
The Tides,-73.79792,40.587399
Throgs Neck,-73.81646,40.817673
Tremont,-73.90928915,40.84975167
Tribeca,-74.00950486,40.71688079
Tudor City,-73.97131298,40.75337296
Unionport,-73.85197495,40.83317098
University Heights,-73.93298736,40.84600332
University Village,-73.99690942,40.72638752
Upper East Side,-73.96144705,40.76917111
Upper West Side,-73.97610023,40.78565467
Utopia,-73.79340986,40.72451355
Van Nest,-73.86207333,40.846686
Wakefield,-73.8480636,40.893628
Washington Heights,-73.93867682,40.84678528
Washington Square Village,-73.99690511,40.73182865
Waterside Plaza,-73.97471315,40.73696928
West Brighton,-73.9694208,40.58065527
West Farms,-73.8761104,40.83164873
West New Brighton,-74.113697,40.631985
Westerleigh,-74.133598,40.623611
Westgate Gardens,-74.422424,40.873672
Whitestone,-73.814224,40.789997
Williams Bridge,-73.8756974,40.8818876
Williamsburg,-73.95640566,40.71378422
Woodhaven,-73.86001611,40.68849721
Woodlawn,-73.86847333,40.89620533
Woodside,-73.90216738,40.74597109
Wyckoff Gardens,-73.98086515,40.67927125
Yorkville,-73.95373877,40.77817026
