hour,speed (mph)
5,24.79095339
4,21.36255534
6,20.50119694
3,18.76631729
2,17.77099425
1,17.4014606
0,17.14121333
23,16.90645526
22,16.45253982
21,16.25169756
7,15.64559971
20,15.29453534
16,13.98420503
19,13.58013519
15,13.52125555
13,13.47312226
14,13.44623643
11,13.14197347
10,13.11109183
12,13.02317299
17,12.92781432
8,12.53884521
18,12.52699231
9,12.19330304
