neighborhood,pay type,# rides
University Village,CSH,278156
University Village,DIS,460
University Village,NOC,1227
University Village,UNK,915
Upper East Side,CRD,2497464
Upper East Side,CSH,2510830
Upper East Side,DIS,2856
Upper East Side,NOC,8605
Upper East Side,UNK,6266
Upper West Side,CRD,1017797
Upper West Side,CSH,969221
Upper West Side,DIS,985
Upper West Side,NOC,3227
Upper West Side,UNK,2679
Utopia,CRD,3841
Utopia,CSH,4580
Utopia,DIS,18
Utopia,NOC,45
Utopia,UNK,5
Van Nest,CRD,1375
Van Nest,CSH,2017
Van Nest,DIS,6
Van Nest,NOC,16
Wakefield,CRD,4720
Wakefield,CSH,3185
Wakefield,DIS,29
Wakefield,NOC,81
Wakefield,UNK,6
Washington Heights,CRD,141772
Washington Heights,CSH,96771
Washington Heights,DIS,249
Washington Heights,NOC,682
Washington Heights,UNK,291
Washington Square Village,CRD,683447
Washington Square Village,CSH,502996
Washington Square Village,DIS,709
Washington Square Village,NOC,2181
Washington Square Village,UNK,1387
Waterside Plaza,CRD,115268
Waterside Plaza,CSH,83729
Waterside Plaza,DIS,117
Waterside Plaza,NOC,328
Waterside Plaza,UNK,296
West Brighton,CRD,2825
West Brighton,CSH,3771
West Brighton,DIS,18
West Brighton,NOC,47
West Brighton,UNK,9
West Farms,CRD,2540
West Farms,CSH,6331
West Farms,DIS,38
West Farms,NOC,51
West Farms,UNK,4
West New Brighton,CRD,2216
West New Brighton,CSH,944
West New Brighton,DIS,14
West New Brighton,NOC,32
Westerleigh,CRD,72768
Westerleigh,CSH,33695
Westerleigh,DIS,194
Westerleigh,NOC,520
Westerleigh,UNK,142
Westgate Gardens,CRD,3267
Westgate Gardens,CSH,1620
Westgate Gardens,DIS,12
Westgate Gardens,NOC,48
Westgate Gardens,UNK,45
Whitestone,CRD,1638
Whitestone,CSH,2366
Whitestone,DIS,6
Whitestone,NOC,14
Whitestone,UNK,1
Williams Bridge,CRD,3202
Williams Bridge,CSH,2859
Williams Bridge,DIS,15
Williams Bridge,NOC,29
Williams Bridge,UNK,3
Williamsburg,CRD,410837
Williamsburg,CSH,270564
Williamsburg,DIS,683
Williamsburg,NOC,1885
Williamsburg,UNK,934
Woodhaven,CRD,3612
Woodhaven,CSH,6375
Woodhaven,DIS,26
Woodhaven,NOC,63
Woodhaven,UNK,3
Woodlawn,CRD,3129
Woodlawn,CSH,6274
Woodlawn,DIS,34
Woodlawn,NOC,83
Woodlawn,UNK,3
Woodside,CRD,37934
Woodside,CSH,77565
Woodside,DIS,236
Woodside,NOC,678
Woodside,UNK,97
Wyckoff Gardens,CRD,58613
Wyckoff Gardens,CSH,38548
Wyckoff Gardens,DIS,97
Wyckoff Gardens,NOC,728
Wyckoff Gardens,UNK,116
Yorkville,CRD,2489341
Yorkville,CSH,2311735
Yorkville,DIS,2582
Yorkville,NOC,7931
Yorkville,UNK,6172
